sector,industry,Empresa
Industrials,Engineering & Construction,ANA.MC
Utilities,Utilities - Renewable,ANE.MC
Basic Materials,Steel,ACX.MC
Industrials,Engineering & Construction,ACS.MC
Industrials,Airports & Air Services,AENA.MC
Consumer Cyclical,Travel Services,AMS.MC
Basic Materials,Steel,MTS.MC
Financial Services,Banks - Diversified,SAN.MC
Financial Services,Banks - Diversified,SAB.MC
Financial Services,Banks - Regional,BKT.MC
Financial Services,Banks - Diversified,BBVA.MC
Financial Services,Banks - Regional,CABK.MC
Real Estate,Real Estate Services,CLNX.MC
Utilities,Utilities - Regulated Gas,ENG.MC
Utilities,Utilities - Regulated Electric,ELE.MC
Industrials,Infrastructure Operations,FER.MC
Industrials,Specialty Industrial Machinery,FDR.MC
Healthcare,Drug Manufacturers - General,GRF.MC
Industrials,Airlines,IAG.MC
Utilities,Utilities - Diversified,IBE.MC
Consumer Cyclical,Apparel Retail,ITX.MC
Technology,Information Technology Services,IDR.MC
Real Estate,REIT - Office,COL.MC
Industrials,Integrated Freight & Logistics,LOG.MC
Financial Services,Insurance - Diversified,MAP.MC
Consumer Cyclical,Lodging,MEL.MC
Real Estate,REIT - Diversified,MRL.MC
Utilities,Utilities - Regulated Gas,NTGY.MC
Utilities,Utilities - Regulated Electric,RED.MC
Energy,Oil & Gas Integrated,REP.MC
Healthcare,Biotechnology,ROVI.MC
Industrials,Engineering & Construction,SCYR.MC
Utilities,Utilities - Renewable,SLR.MC
Communication Services,Telecom Services,TEF.MC
Financial Services,Banks - Regional,UNI.MC
